Name,DateOfBirth,PAN,SalaryEarned,Allowances,PensionType,AadhaarNumber,BankName,BankAccountNumber,BankType
Santhosh Kumar,27-05-1970,A123456789,10000,1069.98,Family pension,1234567891011120,Indusland,2626564583,private
Gowtham,01-02-1949,B123456789,20000,1959.16,Family pension,1234567891011121,HDFC,8597924519,private
John Wick,03-02-1960,C123456789,30000,1102.34,Family pension,1234567891011122,Indusland,973230002,private
Matt Reeves,16-10-1963,D123456789,40000,1172.23,Self pension,1234567891011123,HDFC,3102897851,private
Christian Grey,14-05-1965,E123456790,50000,1768.34,Self pension,1234567891011124,Indusland,5648787774,private
Sachin,04-05-1962,F123456790,60000,782.23,Family pension,1234567891011125,HDFC,5278793333,private
Nashvile,08-09-1956,G123456790,70000,1076.65,Family pension,1234567891011126,Indusland,5960696754,private
Dustin,23-01-1954,H123456790,80000,1937.18,Self pension,1234567891011127,SBI,8259261871,public
Cathy Hicks,09-10-1967,I123456791,90000,909.25,Self pension,1234567891011128,IOB,8495449595,public
Andrew Garfield,04-04-1953,J123456791,100000,1476.32,Self pension,1234567891011129,HDFC,7426278387,private
Heisenberg,28-08-1960,K123456791,10000,1665.55,Family pension,1234567891011111,IOB,7831246592,public
Saul Goodman,15-08-1963,L123456791,20000,540.23,Family pension,1234567891011132,SBI,7617090501,public
Mick,04-07-1958,M123456792,30000,528.95,Family pension,1234567891011140,IOB,8702239191,public
Lilly Crawford,10-06-1957,N123456792,40000,1708.78,Self pension,1234567891011151,SBI,9708591181,public
Luciane lewis,18-05-1968,O123456792,50000,710.39,Self pension,1234567891011162,Indusland,732209005,private
Lucifer,12-12-1964,P123456792,60000,1654.45,Family pension,1234567891011170,IOB,7624065711,public
Samuel Joseph,02-07-1965,Q123456793,70000,1063.43,Family pension,1234567891011181,SBI,9590011454,public
Mackintosh,16-03-1959,R123456793,80000,854.69,Self pension,1234567891011192,HDFC,2289974188,private
Steve Jobs,02-03-1970,S123456793,90000,1603.65,Self pension,1234567891011210,Indusland,4805657006,private
Jillian Sam,22-05-1962,T123456793,100000,679.7,Self pension,1234567891011321,HDFC,9723600471,private
